ID,FirstName,LastName,GPA,Grade
799924,Ava,Jones,3.51,11
967175,William,Anderson,3.29,12
132738,Henry,Gonzalez,3.27,12
805473,Natalie,Martinez,2.93,9
747452,Jacob,Taylor,2.65,11
878378,Isabella,Martin,3.93,12
165939,Anna,Jones,3.8,10
774217,James,Miller,2.71,9
674190,Hannah,Hernandez,3.48,12
753693,Lily,Hernandez,2.91,11
578566,James,Rodriguez,2.77,12
253680,Hannah,Lopez,2.97,12
697951,Alex,Moore,2.88,12
940199,James,Gonzalez,3.81,10
767426,Sophia,Miller,2.68,12
109679,Grace,Davis,3.03,12
504025,Lucas,Miller,3.02,11
558335,Olivia,Jackson,2.2,10
580819,Lucas,Smith,3.3,10
710658,Emma,Martin,2.81,10
497067,Logan,Brown,3.16,9
739552,Zoe,Lopez,3.65,10
780298,Daniel,Jones,3.36,9
309694,Zoe,Lopez,3.04,9
310359,Michael,Thomas,2.97,12
672264,Anna,Garcia,3.65,11
200057,Olivia,Lopez,3.81,12
799686,Sophia,Martin,3.22,11
877803,Lily,Jones,3.59,10
289743,Jessica,Johnson,3.22,10
553748,Grace,Wilson,2.62,10
533371,Sarah,Garcia,3.75,11
743759,Sarah,Taylor,3.04,10
209983,Ryan,Jones,3.65,11
286740,Logan,Smith,3.53,12
841834,Ethan,Moore,3.36,10
278191,Jacob,Johnson,3.56,9
238111,Noah,Smith,3.34,12
698732,Henry,Martinez,3.36,9
752091,Emily,Taylor,2.85,9
179076,Ava,Rodriguez,3.07,9
139941,Logan,Smith,2.83,10
905923,Emily,Williams,3.09,11
246111,Natalie,Moore,3.3,10
235237,William,Martinez,3.66,9
521374,Chris,Thomas,2.95,12
517177,Isabella,Miller,3.01,9
563579,Zoe,Garcia,3.1,12
303153,Sophia,Gonzalez,2.99,11
367182,Ryan,Davis,3.27,9
416096,Hannah,Jones,3.31,11
808752,Alex,Hernandez,2.97,9
893784,Noah,Miller,3.32,10
644455,Lily,Hernandez,3.44,10
850011,Zoe,Wilson,2.65,12
469296,Alex,Rodriguez,3.61,12
921059,Benjamin,Lopez,2.77,9
911454,Daniel,Gonzalez,3.14,12
618916,Sarah,Williams,3.01,12
623880,Emma,Gonzalez,2.8,11
529172,Emma,Martinez,3.38,11
953619,Olivia,Garcia,3.17,10
825383,Jessica,Gonzalez,3.32,11
597710,Chris,Williams,3.79,11
387569,Grace,Brown,3.3,11
432518,Isabella,Martinez,3.42,9
446606,Natalie,Thomas,3.34,11
727350,Mia,Anderson,2.46,10
260248,Grace,Wilson,3.06,9
342075,Jacob,Jones,3.07,10
104876,Sarah,Miller,3.58,12
755092,Hannah,Williams,3.2,10
100398,Hannah,Hernandez,3.09,10
242769,Sarah,Miller,2.51,12
173715,Lucas,Martinez,3.32,10
473505,Chris,Rodriguez,3.01,11
493920,Alex,Moore,3.49,10
288089,Emma,Wilson,2.62,11
149623,Logan,Gonzalez,2.9,10
785238,Jacob,Jackson,3.28,9
407758,Benjamin,Williams,2.83,12
420450,Henry,Thomas,3.73,9
631444,Ryan,Martin,2.93,11
909526,Hannah,Davis,2.8,12
449918,Ryan,Garcia,2.75,12
705247,Hannah,Thomas,2.86,11
554455,Henry,Brown,3.28,10
941061,Alex,Smith,3.04,9
679397,Emma,Hernandez,3.25,9
146768,Mia,Rodriguez,2.98,11
561426,Daniel,Garcia,3.59,10
956683,Ava,Johnson,3.38,9
127341,Alex,Hernandez,2.65,11
499639,Daniel,Smith,2.94,11
257813,Ava,Miller,2.69,10
412498,Benjamin,Martin,2.97,10
375616,Anna,Martin,3.5,11
115320,Jacob,Rodriguez,3.53,11
697297,Emma,Johnson,2.97,9
743565,Anna,Miller,2.79,9
806070,Jacob,Rodriguez,3.24,12
272036,Jacob,Gonzalez,2.92,11
681449,Olivia,Jackson,3.45,9
791965,Ethan,Anderson,3.0,9
790371,William,Thomas,3.47,10
725317,Emma,Taylor,2.22,9
673505,Michael,Martinez,3.6,11
743675,Anna,Garcia,2.56,11
391373,Emma,Hernandez,3.69,10
984100,Jacob,Jackson,3.55,12
788404,Hannah,Thomas,2.57,12
811097,Alex,Johnson,3.21,9
653972,Chris,Garcia,3.09,11
451018,Sarah,Davis,3.12,10
727336,Grace,Rodriguez,3.09,12
165032,Lucas,Martinez,2.82,11
896915,Noah,Wilson,3.06,11
473972,William,Hernandez,3.0,10
283137,Zoe,Taylor,3.33,12
370159,Emily,Miller,3.22,11
250969,William,Davis,3.15,12
611012,Emma,Garcia,3.32,10
622995,William,Moore,3.4,10
509981,Zoe,Martinez,3.35,10
284626,Ava,Martinez,3.36,9
945819,Zoe,Rodriguez,3.39,12
410840,Sophia,Johnson,3.88,12
768259,Michael,Hernandez,3.63,10
606317,Daniel,Davis,3.2,11
745287,Logan,Johnson,3.32,9
861609,Logan,Lopez,3.48,10
133515,Ethan,Martinez,2.96,12
627703,Michael,Thomas,2.54,12
219562,Benjamin,Johnson,3.02,12
666300,Anna,Martinez,3.42,10
855775,Henry,Smith,2.65,10
931518,Logan,Taylor,3.33,9
661704,Sophia,Johnson,3.0,11
524305,Chris,Thomas,3.16,12
945864,Benjamin,Martin,2.96,10
368263,William,Lopez,3.11,12
882437,Zoe,Martin,3.43,10
238630,Mia,Gonzalez,3.12,9
199217,Anna,Martin,2.6,9
918098,Ava,Brown,3.26,12
772343,Jessica,Jackson,3.09,9
850670,Mia,Thomas,2.75,9
568686,Mia,Wilson,3.85,9
