ID,FirstName,LastName,GPA,Grade
135547,Chris,Brown,3.45,12
186440,Benjamin,Anderson,3.0,11
598450,Henry,Martinez,3.31,9
685072,Natalie,Thomas,3.18,9
817549,Daniel,Smith,3.17,10
368836,Sarah,Taylor,3.43,11
358833,Noah,Martinez,2.91,9
945258,Natalie,Davis,3.63,9
737400,Noah,Lopez,2.55,12
636352,Ava,Moore,3.56,11
890799,Mia,Gonzalez,2.64,11
820189,Anna,Williams,2.82,10
737638,Noah,Garcia,3.16,11
536092,Chris,Hernandez,3.74,11
435439,Grace,Johnson,3.04,12
105478,Ryan,Jones,2.91,10
776635,Chris,Smith,2.96,11
666391,Jessica,Moore,3.75,10
326373,Emma,Wilson,3.43,9
225766,Natalie,Miller,3.43,11
874385,Sophia,Thomas,3.63,10
784915,Natalie,Thomas,2.96,10
409012,Emily,Martinez,3.57,9
532673,Emma,Martinez,2.8,10
640291,Natalie,Anderson,3.16,10
470880,Natalie,Jones,3.25,12
747532,Jessica,Taylor,3.32,9
414357,Hannah,Hernandez,3.77,10
742814,Chris,Jones,3.46,9
908443,Emma,Williams,3.33,9
634652,Isabella,Rodriguez,2.91,12
560141,Ethan,Lopez,2.88,12
637091,Emma,Rodriguez,2.94,12
544344,Natalie,Jones,3.34,10
297218,Logan,Martinez,3.92,11
832999,Michael,Martin,3.25,12
644043,Logan,Rodriguez,3.24,10
289166,Henry,Lopez,3.18,9
239515,Zoe,Moore,3.25,9
282670,Hannah,Hernandez,2.88,11
379472,Lucas,Jones,2.86,10
885126,Alex,Wilson,3.38,10
964927,Grace,Thomas,3.34,9
110077,Chris,Martinez,2.93,10
483421,Lily,Martinez,2.97,12
870085,Matthew,Miller,3.05,9
585618,Anna,Williams,3.25,9
598547,Anna,Martin,3.2,12
420117,Zoe,Davis,2.64,11
829050,Henry,Smith,3.37,10
470163,Logan,Rodriguez,3.04,11
652688,Sophia,Hernandez,3.73,12
212972,Henry,Williams,3.03,10
320274,Daniel,Jones,3.04,11
236347,Jessica,Williams,3.27,12
619090,Michael,Hernandez,3.77,11
346265,Daniel,Jones,2.86,11
337555,Michael,Jones,3.55,12
487837,Alex,Williams,3.19,9
484367,Grace,Rodriguez,3.92,11
388120,Hannah,Williams,2.86,10
368553,Zoe,Hernandez,3.46,9
295980,Ethan,Taylor,3.26,10
995093,Hannah,Rodriguez,3.1,9
494454,Logan,Jones,3.13,9
517638,Ava,Smith,2.81,11
644179,Grace,Anderson,2.86,12
894993,James,Hernandez,3.38,10
389190,Sarah,Martinez,3.04,10
616183,James,Martinez,3.11,10
236033,Emily,Johnson,3.57,10
526147,Jessica,Thomas,3.31,11
687498,Mia,Garcia,2.72,9
306696,Jacob,Hernandez,3.27,9
676350,Jessica,Moore,3.21,11
205959,Noah,Martinez,3.09,10
813021,Lily,Hernandez,3.95,9
313162,Logan,Gonzalez,3.77,9
985359,Zoe,Lopez,3.57,12
190371,Michael,Rodriguez,2.87,12
957142,Sophia,Martinez,3.0,12
831980,Ryan,Brown,3.26,11
438940,William,Thomas,3.17,12
635216,Jessica,Miller,3.74,12
100106,Sarah,Garcia,2.89,11
943031,Henry,Martin,3.66,9
276173,Anna,Martin,3.2,12
947568,Sophia,Moore,3.23,10
862869,Noah,Johnson,3.44,10
204569,Noah,Gonzalez,3.92,12
360614,Logan,Johnson,2.85,10
631262,Anna,Williams,2.41,11
782227,Emily,Hernandez,2.79,12
806822,Natalie,Jones,2.85,10
563212,Ryan,Williams,3.66,10
582580,Lily,Gonzalez,2.57,11
647009,Benjamin,Rodriguez,3.25,12
514481,Jessica,Williams,3.61,9
204454,Grace,Taylor,3.18,11
451504,Zoe,Thomas,3.09,9
960991,Noah,Garcia,2.88,10
725138,Olivia,Gonzalez,3.47,12
563487,Logan,Moore,2.98,11
137040,Matthew,Garcia,2.9,9
513425,Logan,Taylor,2.73,9
615615,Grace,Thomas,2.91,11
788512,Chris,Miller,2.8,10
519894,William,Rodriguez,3.59,10
760954,Jessica,Martin,2.71,12
520372,Anna,Jackson,2.98,10
693911,William,Martinez,3.25,12
245605,Grace,Martinez,3.38,9
792288,Lily,Miller,3.47,9
207691,Hannah,Jones,3.49,10
829747,Sarah,Smith,3.6,11
386786,Sophia,Lopez,3.18,10
297292,Michael,Wilson,2.95,9
255141,Matthew,Davis,3.71,12
968038,Olivia,Smith,3.08,11
756341,Benjamin,Lopez,3.33,12
592039,Sarah,Davis,3.62,9
518370,William,Gonzalez,3.41,12
502766,Anna,Taylor,3.38,9
997565,Natalie,Davis,2.72,11
436256,Hannah,Garcia,2.99,12
852706,Ethan,Smith,3.49,10
614463,Benjamin,Garcia,2.67,12
679118,Ava,Davis,3.63,12
811794,Ryan,Rodriguez,3.23,11
535165,Henry,Miller,3.26,12
962621,Alex,Jones,3.22,11
471692,Isabella,Wilson,3.28,9
166147,Daniel,Martinez,3.69,9
155145,William,Jackson,3.3,10
228664,Lily,Thomas,2.66,11
312124,Ethan,Smith,3.4,12
821228,Ethan,Rodriguez,3.08,11
392406,Jessica,Davis,3.63,9
389995,Chris,Johnson,3.11,10
448368,Mia,Jackson,3.08,11
699810,Ryan,Williams,2.94,10
938682,Ethan,Jones,3.59,9
399644,Lucas,Jackson,2.78,12
168962,Noah,Miller,3.46,12
510533,Sarah,Garcia,3.25,9
106745,Logan,Davis,2.93,9
851685,Chris,Lopez,3.29,10
616826,James,Brown,3.49,9
441314,Sarah,Lopez,3.09,11
273886,Anna,Miller,3.59,12
679394,Matthew,Rodriguez,3.08,11
430807,Noah,Thomas,3.04,10
947438,Alex,Smith,2.65,9
808474,Alex,Rodriguez,3.25,10
125522,Henry,Smith,3.58,9
736229,Mia,Brown,3.1,12
328963,Benjamin,Garcia,3.7,9
154531,Emily,Brown,3.45,9
